Week;Weekday;Begin date;Begin time;End date;End time;Course;Programme;Group;Room;Reason;Teacher;Comment;Map;Equipment
w13;Sunday;2024-03-31;00:00;2024-04-01;00:00;Påskdagen;;;;;;;;
w14;Monday;2024-04-01;00:00;2024-04-02;00:00;Annandag påsk;;;;;;;;
w15;Wednesday;2024-04-10;10:15;2024-04-10;12:00;Data Engineering II;IT4, MasComScie, MasDataAn1, MasSciCom1;;4101, Ångström;Lecture;Salman Toor;;http://use.mazemap.com/?v=1&campusid=49&campuses=uu&sharepoitype=identifier&sharepoi=Ångström-4101;
w15;Thursday;2024-04-11;13:15;2024-04-11;15:00;Data Engineering II;IT4, MasComScie, MasDataAn1, MasSciCom1;;4101, Ångström;Lecture;Salman Toor;;http://use.mazemap.com/?v=1&campusid=49&campuses=uu&sharepoitype=identifier&sharepoi=Ångström-4101;
w15;Friday;2024-04-12;10:15;2024-04-12;12:00;Data Engineering II;IT4, MasComScie, MasDataAn1, MasSciCom1;;10K1201, Computer room, Ångström;Laboratory experiment;Salman Toor;;https://link.mazemap.com/1SNivutJ;
w15;Friday;2024-04-12;13:15;2024-04-12;15:00;Data Engineering II;IT4, MasComScie, MasDataAn1, MasSciCom1;;10K1201, Computer room, Ångström;Laboratory experiment;Salman Toor;;https://link.mazemap.com/1SNivutJ;
w16;Wednesday;2024-04-17;10:15;2024-04-17;12:00;Data Engineering II;IT4, MasComScie, MasDataAn1, MasSciCom1;;4101, Ångström;Lecture;Salman Toor;;http://use.mazemap.com/?v=1&campusid=49&campuses=uu&sharepoitype=identifier&sharepoi=Ångström-4101;
w17;Tuesday;2024-04-23;10:15;2024-04-23;12:00;Data Engineering II;IT4, MasComScie, MasDataAn1, MasSciCom1;;4101, Ångström;Lecture;Salman Toor;;http://use.mazemap.com/?v=1&campusid=49&campuses=uu&sharepoitype=identifier&sharepoi=Ångström-4101;
w17;Friday;2024-04-26;10:15;2024-04-26;12:00;Data Engineering II;IT4, MasComScie, MasDataAn1, MasSciCom1;;10K1201, Computer room, Ångström;Laboratory experiment;Salman Toor;;https://link.mazemap.com/1SNivutJ;
w17;Friday;2024-04-26;13:15;2024-04-26;15:00;Data Engineering II;IT4, MasComScie, MasDataAn1, MasSciCom1;;10K1201, Computer room, Ångström;Laboratory experiment;Salman Toor;;https://link.mazemap.com/1SNivutJ;
w18;Tuesday;2024-04-30;00:00;2024-05-01;00:00;Valborg;;;;;;;;
w18;Wednesday;2024-05-01;00:00;2024-05-02;00:00;Första maj;;;;;;;;
w18;Friday;2024-05-03;10:15;2024-05-03;12:00;Data Engineering II;IT4, MasComScie, MasDataAn1, MasSciCom1;;4101, Ångström;Seminar;Salman Toor;;http://use.mazemap.com/?v=1&campusid=49&campuses=uu&sharepoitype=identifier&sharepoi=Ångström-4101;
w18;Friday;2024-05-03;13:15;2024-05-03;15:00;Data Engineering II;IT4, MasComScie, MasDataAn1, MasSciCom1;;4101, Ångström;Seminar;Salman Toor;;http://use.mazemap.com/?v=1&campusid=49&campuses=uu&sharepoitype=identifier&sharepoi=Ångström-4101;
w19;Tuesday;2024-05-07;13:15;2024-05-07;15:00;Data Engineering II;IT4, MasComScie, MasDataAn1, MasSciCom1;;4101, Ångström;Lecture;Salman Toor;;http://use.mazemap.com/?v=1&campusid=49&campuses=uu&sharepoitype=identifier&sharepoi=Ångström-4101;
w19;Wednesday;2024-05-08;10:15;2024-05-08;12:00;Data Engineering II;IT4, MasComScie, MasDataAn1, MasSciCom1;;4101, Ångström;Lecture;Salman Toor;;http://use.mazemap.com/?v=1&campusid=49&campuses=uu&sharepoitype=identifier&sharepoi=Ångström-4101;
w19;Thursday;2024-05-09;00:00;2024-05-10;00:00;Kristi himmelsfärdsdag;;;;;;;;
w20;Tuesday;2024-05-14;10:15;2024-05-14;12:00;Data Engineering II;IT4, MasComScie, MasDataAn1, MasSciCom1;;4101, Ångström;Lecture;Salman Toor;;http://use.mazemap.com/?v=1&campusid=49&campuses=uu&sharepoitype=identifier&sharepoi=Ångström-4101;
w20;Friday;2024-05-17;13:15;2024-05-17;15:00;Data Engineering II;IT4, MasComScie, MasDataAn1, MasSciCom1;;10K1201, Computer room, Ångström;Laboratory experiment;Salman Toor;;https://link.mazemap.com/1SNivutJ;
w20;Sunday;2024-05-19;00:00;2024-05-20;00:00;Pingstdagen;;;;;;;;
w22;Tuesday;2024-05-28;08:00;2024-05-28;17:00;Applied Linear Algebra for Data Science;MasDataAn1, MasSciCom1;;;Exam;;;;
w22;Thursday;2024-05-30;09:15;2024-05-30;12:00;Data Engineering II;IT4, MasComScie, MasDataAn1, MasSciCom1;;4101, Ångström;Presentation;Salman Toor;;http://use.mazemap.com/?v=1&campusid=49&campuses=uu&sharepoitype=identifier&sharepoi=Ångström-4101;
w22;Thursday;2024-05-30;13:15;2024-05-30;16:00;Data Engineering II;IT4, MasComScie, MasDataAn1, MasSciCom1;;4101, Ångström;Presentation;Salman Toor;;http://use.mazemap.com/?v=1&campusid=49&campuses=uu&sharepoitype=identifier&sharepoi=Ångström-4101;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
https://cloud.timeedit.net/uu/web/studschema/s.html?i=6w25nyncZ8s5QXcpYbdyZ6Q4fdwuYa2ZnQmQx0dY7r3l5khcQvylWk95Yjcd59lx4nnm541saoZW2Qkm7l8umW3b0nxW126539o52a5lQ0xYbZc52Q5Wy670nxcWnjknW8ns5Z2mnhjd0m3uml61mkWcm3n4Qxhmb549nm1su0m3m187ly24Wxnnckd9lZlQlZja5WmY58Y1yckQ45huW8dkWxZl70n4lnjkQs7jW8blZna63n0nnc7k9x56xW0b941k1Z0nZl5jnac3Wnnd1Wnxk822hk05cokyl8s0uQ9QYWQ1Whm855nn9j6jl08cbl6dWZW5yjl3kn41538l5kalxnZnskx3k454jm5c58n451Y3l8h5QZ761lk0jllWnWnun4lWcnjWnyx8QQ8nln8jub6ldslWxlnn4ln6k52YW31nj1514ZWca58W018kjmknndY5smZhunZx60Q8WW1ayolknx5kWl1k67cnmbc4673Q2W899yjZx8xsn1ZW0jcm4l095c0nk5dQ171aWlunb8Qh0YWklnn53kmk96Qujx8nn150bn8akQ38W41cZkYlmc1jZdhln4nx6l4yW1lsjWs5kZ0jl58kl3hdmclnun5cWb68xan851nZ4nynWQQjlk7Y9x95x98n30n8ll7m4Zj8jyZWkb1h5mQcdnnW86nWk57kn1aWkxljs0j5m8m3Wunjc5n62n1kn9Yho47jk8ZWd1l55nW2Q8yWc5lQa0xbq0y0ZQQZZbb0ouQZZ4cZv07gbAZQoyn8Q6Qfbyn4ZuQocrQluPnWnbcn5v6VSa;;;;;;;;;;;;;;
