_id,Week,Weekday,Begin_date,Begin_time,End_date,End_time,Course,Programme,Group,Room,Reason,Teacher,Comment,Map,Equipment
669f8582df33e678170a3e83,w12;Tuesday;2024-03-19;10:15;2024-03-19;12:00;Data Engineering II;IT4, MasComScie, MasDataAn1, MasSciCom1;;4101, Ångström;Lecture;Salman Toor;;http://use.mazemap.com/?v=1&campusid=49&campuses=uu&sharepoitype=identifier&sharepoi=Ångström-4101;,,,,,,,,,,
669f8582df33e678170a3e84,w12;Wednesday;2024-03-20;10:15;2024-03-20;12:00;Data Engineering II;IT4, MasComScie, MasDataAn1, MasSciCom1;;4101, Ångström;Lecture;Salman Toor;;http://use.mazemap.com/?v=1&campusid=49&campuses=uu&sharepoitype=identifier&sharepoi=Ångström-4101;,,,,,,,,,,
669f8582df33e678170a3e85,w12;Friday;2024-03-22;10:15;2024-03-22;12:00;Data Engineering II;IT4, MasComScie, MasDataAn1, MasSciCom1;;10K1201, Computer room, Ångström;Laboratory experiment;Salman Toor;;https://link.mazemap.com/1SNivutJ;,,,,,,,,,
669f8582df33e678170a3e86,w13;Monday;2024-03-25;08:15;2024-03-25;10:00;Data Engineering II;IT4, MasComScie, MasDataAn1, MasSciCom1;;10K1201, Computer room, Ångström;Laboratory experiment;Salman Toor;;https://link.mazemap.com/1SNivutJ;,,,,,,,,,
669f8582df33e678170a3e87,w13;Friday;2024-03-29;00:00;2024-03-30;00:00;Långfredag;;;;;;;;,,,,,,,,,,,,,,
669f8582df33e678170a3e88,w13;Sunday;2024-03-31;00:00;2024-04-01;00:00;Påskdagen;;;;;;;;,,,,,,,,,,,,,,
669f8582df33e678170a3e89,w14;Monday;2024-04-01;00:00;2024-04-02;00:00;Annandag påsk;;;;;;;;,,,,,,,,,,,,,,
669f8582df33e678170a3e8a,w15;Wednesday;2024-04-10;10:15;2024-04-10;12:00;Data Engineering II;IT4, MasComScie, MasDataAn1, MasSciCom1;;4101, Ångström;Lecture;Salman Toor;;http://use.mazemap.com/?v=1&campusid=49&campuses=uu&sharepoitype=identifier&sharepoi=Ångström-4101;,,,,,,,,,,
669f8582df33e678170a3e8b,w15;Thursday;2024-04-11;13:15;2024-04-11;15:00;Data Engineering II;IT4, MasComScie, MasDataAn1, MasSciCom1;;4101, Ångström;Lecture;Salman Toor;;http://use.mazemap.com/?v=1&campusid=49&campuses=uu&sharepoitype=identifier&sharepoi=Ångström-4101;,,,,,,,,,,
669f8582df33e678170a3e8c,w15;Friday;2024-04-12;10:15;2024-04-12;12:00;Data Engineering II;IT4, MasComScie, MasDataAn1, MasSciCom1;;10K1201, Computer room, Ångström;Laboratory experiment;Salman Toor;;https://link.mazemap.com/1SNivutJ;,,,,,,,,,
